date,Page view,Avg. page time,Bounce rate,is_peak_season,,,
2013/6/21,,,,,,,
2013/6/22,,,,,,,
2013/6/23,,,,,,,
2013/6/24,,,,,,,
2013/6/25,,,,,,,
2013/6/26,,,,,,,
2013/6/27,,,,,,,
2013/6/28,381,00:01:27,58.39%,0,,,
2013/6/29,401,00:01:06,54.55%,0,,,
2013/6/30,330,00:01:14,57.85%,0,,,
2013/7/1,235,00:01:48,66.67%,1,,,
2013/7/2,235,00:01:19,60.00%,1,,,
2013/7/3,240,00:02:06,57.28%,1,,,
2013/7/4,230,00:01:46,55.91%,1,,,
2013/7/5,469,00:00:54,23.58%,1,,,
2013/7/6,493,00:00:58,22.34%,1,,,
2013/7/7,765,00:00:54,13.57%,1,,,
2013/7/8,389,00:00:42,14.42%,1,,,
2013/7/9,399,00:00:49,10.59%,1,,,
2013/7/10,"1,072",00:00:45,19.92%,1,,,
2013/7/11,"1,766",00:00:39,15.50%,1,,,
2013/7/12,556,00:00:42,16.78%,1,,,
2013/7/13,615,00:00:49,14.07%,1,,,
2013/7/14,578,00:01:14,16.95%,1,,,
2013/7/15,483,00:00:41,20.34%,1,,,
2013/7/16,380,00:00:34,14.29%,1,,,
2013/7/17,416,00:00:42,17.65%,1,,,
2013/7/18,248,00:00:21,15.00%,1,,,
2013/7/19,335,00:00:46,15.79%,1,,,
2013/7/20,253,00:00:36,15.94%,1,,,
2013/7/21,250,00:00:59,24.10%,1,,,
2013/7/22,368,00:00:43,23.91%,1,,,
2013/7/23,287,00:00:46,12.35%,1,,,
2013/7/24,398,00:00:44,12.36%,1,,,
2013/7/25,190,00:00:41,6.67%,1,,,
2013/7/26,257,00:00:34,9.86%,1,,,
2013/7/27,249,00:00:57,19.30%,1,,,
2013/7/28,477,00:00:57,10.47%,1,,,
2013/7/29,450,00:00:50,10.53%,1,,,
2013/7/30,572,00:00:45,19.83%,1,,,
2013/7/31,902,00:00:43,9.14%,1,,,
2013/8/1,428,00:00:38,13.48%,1,,,
2013/8/2,324,00:00:24,9.38%,1,,,
2013/8/3,336,00:01:02,15.38%,1,,,
2013/8/4,534,00:00:27,9.01%,1,,,
2013/8/5,501,00:00:32,12.05%,1,,,
2013/8/6,"2,425",00:00:33,5.35%,1,,,
2013/8/7,"5,945",00:00:31,10.18%,1,,,
2013/8/8,"3,038",00:00:25,13.78%,1,,,
2013/8/9,"1,554",00:00:33,18.49%,1,,,
2013/8/10,"1,246",00:00:27,15.61%,1,,,
2013/8/11,"1,925",00:00:32,15.05%,1,,,
2013/8/12,"1,203",00:00:30,16.97%,1,,,
2013/8/13,844,00:00:42,11.41%,1,,,
2013/8/14,"1,942",00:00:35,13.10%,1,,,
2013/8/15,"1,171",00:00:32,13.97%,1,,,
2013/8/16,723,00:00:36,15.11%,1,,,
2013/8/17,"1,164",00:00:34,13.25%,1,,,
2013/8/18,664,00:00:47,21.79%,1,,,
2013/8/19,912,00:00:40,20.11%,1,,,
2013/8/20,"1,728",00:00:33,15.06%,1,,,
2013/8/21,"2,307",00:00:29,11.44%,1,,,
2013/8/22,"1,193",00:00:41,14.22%,1,,,
2013/8/23,"1,412",00:00:38,13.18%,1,,,
2013/8/24,"4,596",00:00:35,13.28%,1,,,
